Store_Number,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price, CPI ,Unemployment
1,05-06-2011,"16,29,391",0,64.61,3.906,216,7.682
1,5/13/2011,"16,04,776",0,75.64,3.899,216,7.682
1,5/20/2011,"14,28,218",0,67.63,3.907,216,7.682
1,5/27/2011,"14,66,047",0,77.72,3.786,216,7.682
1,06-03-2011,"16,35,078",0,83,3.699,215,7.682
1,06-10-2011,"15,88,948",0,83.13,3.648,215,7.682
1,6/17/2011,"15,32,115",0,86.41,3.637,215,7.682
1,6/24/2011,"14,38,830",0,83.58,3.594,215,7.682
1,07-01-2011,"14,88,538",0,85.55,3.524,215,7.962
1,07-08-2011,"15,34,850",0,85.83,3.48,215,7.962
1,7/15/2011,"14,55,120",0,88.54,3.575,215,7.962
1,7/22/2011,"13,96,927",0,85.77,3.651,215,7.962
1,7/29/2011,"13,52,220",0,86.83,3.682,215,7.962
1,08-05-2011,"16,24,384",0,91.65,3.684,216,7.962
1,08-12-2011,"15,25,147",0,90.76,3.638,216,7.962
1,8/19/2011,"15,30,761",0,89.94,3.554,216,7.962
1,8/26/2011,"14,64,693",0,87.96,3.523,216,7.962
1,09-02-2011,"15,50,229",0,87.83,3.533,216,7.962
1,09-09-2011,"15,40,471",1,76,3.546,216,7.962
1,9/16/2011,"15,14,260",0,79.94,3.526,216,7.962
1,9/23/2011,"13,80,020",0,75.8,3.467,216,7.962
1,9/30/2011,"13,94,562",0,79.69,3.355,217,7.962
1,10-07-2011,"16,30,990",0,69.31,3.285,217,7.866
1,10/14/2011,"14,93,526",0,71.74,3.274,217,7.866
1,10/21/2011,"15,02,563",0,63.71,3.353,218,7.866
1,10/28/2011,"14,45,249",0,66.57,3.372,218,7.866
1,11-04-2011,"16,97,230",0,54.98,3.332,218,7.866
1,11-11-2011,"15,94,939",0,59.11,3.297,218,7.866
1,11/18/2011,"15,39,484",0,62.25,3.308,218,7.866
1,11/25/2011,"20,33,321",1,60.14,3.236,218,7.866
1,12-02-2011,"15,84,084",0,48.91,3.172,219,7.866
1,12-09-2011,"17,99,682",0,43.93,3.158,219,7.866
1,12/16/2011,"18,81,177",0,51.63,3.159,219,7.866
1,12/23/2011,"22,70,189",0,47.96,3.112,219,7.866
1,12/30/2011,"14,97,463",1,44.55,3.129,220,7.866
1,01-06-2012,"15,50,370",0,49.01,3.157,220,7.348
1,1/13/2012,"14,59,601",0,48.53,3.261,220,7.348
1,1/20/2012,"13,94,394",0,54.11,3.268,220,7.348
1,1/27/2012,"13,19,326",0,54.26,3.29,220,7.348
1,02-03-2012,"16,36,340",0,56.55,3.36,220,7.348
1,02-10-2012,"18,02,477",1,48.02,3.409,220,7.348
1,2/17/2012,"18,19,870",0,45.32,3.51,220,7.348
1,2/24/2012,"15,39,388",0,57.25,3.555,221,7.348
1,03-02-2012,"16,88,421",0,60.96,3.63,221,7.348
1,03-09-2012,"16,75,431",0,58.76,3.669,221,7.348
1,3/16/2012,"16,77,473",0,64.74,3.734,221,7.348
1,3/23/2012,"15,11,068",0,65.93,3.787,221,7.348
1,3/30/2012,"16,49,605",0,67.61,3.845,221,7.348
1,04-06-2012,"18,99,677",0,70.43,3.891,221,7.143
1,4/13/2012,"16,21,032",0,69.07,3.891,222,7.143
1,4/20/2012,"15,21,578",0,66.76,3.877,222,7.143
1,4/27/2012,"14,68,928",0,67.23,3.814,222,7.143
1,05-04-2012,"16,84,520",0,75.55,3.749,222,7.143
1,05-11-2012,"16,11,096",0,73.77,3.688,222,7.143
1,5/18/2012,"15,95,902",0,70.33,3.63,222,7.143
1,5/25/2012,"15,55,445",0,77.22,3.561,222,7.143
1,06-01-2012,"16,24,478",0,77.95,3.501,222,7.143
1,06-08-2012,"16,97,231",0,78.3,3.452,222,7.143
1,6/15/2012,"16,30,607",0,79.35,3.393,222,7.143
1,6/22/2012,"15,27,846",0,78.39,3.346,222,7.143
1,6/29/2012,"15,40,421",0,84.88,3.286,222,7.143
1,07-06-2012,"17,69,854",0,81.57,3.227,222,6.908
1,7/13/2012,"15,27,014",0,77.12,3.256,222,6.908
1,7/20/2012,"14,97,955",0,80.42,3.311,222,6.908
1,7/27/2012,"14,39,124",0,82.66,3.407,222,6.908
1,08-03-2012,"16,31,136",0,86.11,3.417,222,6.908
1,08-10-2012,"15,92,410",0,85.05,3.494,222,6.908
1,8/17/2012,"15,97,868",0,84.85,3.571,222,6.908
1,8/24/2012,"14,94,122",0,77.66,3.62,222,6.908
1,8/31/2012,"15,82,083",0,80.49,3.638,222,6.908
1,09-07-2012,"16,61,767",1,83.96,3.73,222,6.908
1,9/14/2012,"15,17,429",0,74.97,3.717,223,6.908
1,9/21/2012,"15,06,126",0,69.87,3.721,223,6.908
1,9/28/2012,"14,37,059",0,76.08,3.666,223,6.908
1,10-05-2012,"16,70,786",0,68.55,3.617,223,6.573
1,10-12-2012,"15,73,073",0,62.99,3.601,223,6.573
1,10/19/2012,"15,08,069",0,67.97,3.594,223,6.573
1,10/26/2012,"14,93,660",0,69.16,3.506,223,6.573
2,02-05-2010,"21,36,989",0,40.19,2.572,211,8.324
2,02-12-2010,"21,37,810",1,38.49,2.548,211,8.324
2,2/19/2010,"21,24,452",0,39.69,2.514,211,8.324
2,2/26/2010,"18,65,097",0,46.1,2.561,211,8.324
2,03-05-2010,"19,91,013",0,47.17,2.625,211,8.324
2,03-12-2010,"19,90,484",0,57.56,2.667,211,8.324
2,3/19/2010,"19,46,071",0,54.52,2.72,211,8.324
2,3/26/2010,"17,50,198",0,51.26,2.732,211,8.324
2,04-02-2010,"20,66,188",0,63.27,2.719,210,8.2
2,04-09-2010,"19,54,689",0,65.41,2.77,210,8.2
2,4/16/2010,"18,74,958",0,68.07,2.808,210,8.2
2,4/23/2010,"18,21,991",0,65.11,2.795,210,8.2
2,4/30/2010,"18,02,450",0,66.98,2.78,210,8.2
2,05-07-2010,"20,42,582",0,71.28,2.835,210,8.2
2,5/14/2010,"18,80,752",0,73.31,2.854,210,8.2
2,5/21/2010,"18,96,937",0,74.83,2.826,210,8.2
2,5/28/2010,"19,57,114",0,81.13,2.759,211,8.2
2,06-04-2010,"21,02,540",0,81.81,2.705,211,8.2
2,06-11-2010,"20,25,539",0,83.4,2.668,211,8.2
2,6/18/2010,"20,01,637",0,85.81,2.637,211,8.2
2,6/25/2010,"19,39,927",0,86.26,2.653,211,8.2
2,07-02-2010,"20,03,941",0,82.74,2.669,211,8.099
2,07-09-2010,"18,80,903",0,82.59,2.642,211,8.099
2,7/16/2010,"18,45,880",0,85.32,2.623,211,8.099
2,7/23/2010,"17,81,718",0,87.66,2.608,211,8.099
2,7/30/2010,"18,04,246",0,83.49,2.64,211,8.099
2,08-06-2010,"19,91,910",0,89.53,2.627,211,8.099
2,8/13/2010,"18,95,601",0,89.05,2.692,211,8.099
2,8/20/2010,"19,64,335",0,88.7,2.664,211,8.099
2,8/27/2010,"18,63,840",0,87.12,2.619,211,8.099
2,09-03-2010,"19,04,608",0,81.83,2.577,211,8.099
2,09-10-2010,"18,39,129",1,79.09,2.565,211,8.099
2,9/17/2010,"17,93,904",0,82.05,2.582,211,8.099
2,9/24/2010,"17,24,557",0,81.79,2.624,211,8.099
2,10-01-2010,"18,27,440",0,69.24,2.603,211,8.163
2,10-08-2010,"18,49,921",0,63.19,2.633,211,8.163
2,10/15/2010,"17,94,355",0,65.8,2.72,211,8.163
2,10/22/2010,"17,37,948",0,68.5,2.725,212,8.163
2,10/29/2010,"18,02,755",0,66.24,2.716,212,8.163
2,11-05-2010,"19,39,061",0,57.85,2.689,212,8.163
2,11-12-2010,"19,16,813",0,59.69,2.728,212,8.163
2,11/19/2010,"19,56,739",0,50.81,2.771,212,8.163
2,11/26/2010,"26,58,725",1,62.98,2.735,211,8.163
2,12-03-2010,"20,15,781",0,49.33,2.708,211,8.163
2,12-10-2010,"23,78,727",0,45.5,2.843,211,8.163
2,12/17/2010,"26,09,167",0,47.55,2.869,211,8.163
2,12/24/2010,"34,36,008",0,49.97,2.886,211,8.163
2,12/31/2010,"17,50,435",1,47.3,2.943,211,8.163
2,01-07-2011,"17,58,051",0,44.69,2.976,211,8.028
2,1/14/2011,"17,44,194",0,33.02,2.983,211,8.028
2,1/21/2011,"17,51,385",0,41.4,3.016,211,8.028
2,1/28/2011,"16,95,372",0,42.83,3.01,212,8.028
2,02-04-2011,"19,29,346",0,38.25,2.989,212,8.028
2,02-11-2011,"21,68,042",1,33.19,3.022,213,8.028
2,2/18/2011,"20,80,885",0,57.83,3.045,213,8.028
2,2/25/2011,"18,33,511",0,60.8,3.065,213,8.028
2,03-04-2011,"19,81,608",0,57.77,3.288,213,8.028
2,03-11-2011,"18,79,107",0,52.7,3.459,214,8.028
2,3/18/2011,"19,02,558",0,62.32,3.488,214,8.028
2,3/25/2011,"17,66,162",0,69.42,3.473,214,8.028
2,04-01-2011,"18,00,171",0,55.43,3.524,214,7.931
2,04-08-2011,"18,47,553",0,67,3.622,215,7.931
2,4/15/2011,"18,56,468",0,69.48,3.743,215,7.931
2,4/22/2011,"18,86,340",0,69.39,3.807,215,7.931
2,4/29/2011,"17,45,545",0,69.21,3.81,215,7.931
2,05-06-2011,"18,37,744",0,61.48,3.906,215,7.931
2,5/13/2011,"18,38,513",0,74.61,3.899,216,7.931
2,5/20/2011,"16,88,282",0,67.14,3.907,215,7.931
2,5/27/2011,"17,97,733",0,76.42,3.786,215,7.931
2,06-03-2011,"19,33,756",0,83.07,3.699,215,7.931
2,06-10-2011,"19,29,153",0,83.4,3.648,215,7.931
2,6/17/2011,"19,53,772",0,86.53,3.637,215,7.931
2,6/24/2011,"17,90,926",0,85.17,3.594,215,7.931
2,07-01-2011,"18,66,243",0,85.69,3.524,215,7.852
2,07-08-2011,"18,53,162",0,87.7,3.48,215,7.852
2,7/15/2011,"17,85,187",0,89.83,3.575,215,7.852
2,7/22/2011,"17,43,816",0,89.34,3.651,215,7.852
2,7/29/2011,"16,80,693",0,90.07,3.682,215,7.852
2,08-05-2011,"18,76,704",0,93.34,3.684,215,7.852
2,08-12-2011,"18,12,768",0,91.58,3.638,215,7.852
2,8/19/2011,"18,44,095",0,89.86,3.554,215,7.852
2,8/26/2011,"18,21,140",0,90.45,3.523,215,7.852
2,09-02-2011,"18,09,120",0,89.64,3.533,215,7.852
2,09-09-2011,"17,48,001",1,77.97,3.546,216,7.852
2,9/16/2011,"16,91,440",0,78.85,3.526,216,7.852
2,9/23/2011,"16,69,300",0,75.58,3.467,216,7.852
2,9/30/2011,"16,50,394",0,78.14,3.355,216,7.852
2,10-07-2011,"18,37,553",0,69.92,3.285,217,7.441
2,10/14/2011,"17,43,882",0,71.67,3.274,217,7.441
2,10/21/2011,"18,34,680",0,64.53,3.353,217,7.441
2,10/28/2011,"17,69,296",0,65.87,3.372,217,7.441
2,11-04-2011,"19,59,708",0,55.53,3.332,217,7.441
2,11-11-2011,"19,20,725",0,59.33,3.297,218,7.441
2,11/18/2011,"19,02,763",0,62.01,3.308,218,7.441
2,11/25/2011,"26,14,202",1,56.36,3.236,218,7.441
2,12-02-2011,"19,54,952",0,48.74,3.172,218,7.441
2,12-09-2011,"22,90,549",0,41.76,3.158,219,7.441
2,12/16/2011,"24,32,737",0,50.13,3.159,219,7.441
2,12/23/2011,"32,24,370",0,46.66,3.112,219,7.441
2,12/30/2011,"18,74,227",1,44.57,3.129,219,7.441
2,01-06-2012,"17,99,520",0,46.75,3.157,219,7.057
2,1/13/2012,"17,44,725",0,45.99,3.261,220,7.057
2,1/20/2012,"17,11,769",0,51.7,3.268,220,7.057
2,1/27/2012,"16,60,906",0,50.5,3.29,220,7.057
2,02-03-2012,"19,35,300",0,55.21,3.36,220,7.057
2,02-10-2012,"21,03,323",1,46.98,3.409,220,7.057
2,2/17/2012,"21,96,688",0,43.82,3.51,220,7.057
2,2/24/2012,"18,61,803",0,54.63,3.555,220,7.057
2,03-02-2012,"19,52,556",0,58.79,3.63,220,7.057
2,03-09-2012,"19,37,628",0,57.11,3.669,221,7.057
2,3/16/2012,"19,76,082",0,63.68,3.734,221,7.057
2,3/23/2012,"17,90,439",0,64.01,3.787,221,7.057
2,3/30/2012,"18,57,481",0,66.83,3.845,221,7.057
2,04-06-2012,"21,29,036",0,68.43,3.891,221,6.891
2,4/13/2012,"19,35,869",0,68.08,3.891,221,6.891
2,4/20/2012,"18,47,344",0,65.69,3.877,221,6.891
2,4/27/2012,"17,64,133",0,67.2,3.814,221,6.891
2,05-04-2012,"19,23,957",0,76.73,3.749,221,6.891
2,05-11-2012,"19,17,521",0,73.87,3.688,221,6.891
2,5/18/2012,"20,00,941",0,71.27,3.63,221,6.891
2,5/25/2012,"19,12,791",0,78.19,3.561,221,6.891
2,06-01-2012,"19,10,092",0,78.38,3.501,221,6.891
2,06-08-2012,"20,10,216",0,78.69,3.452,221,6.891
2,6/15/2012,"19,62,924",0,80.56,3.393,221,6.891
2,6/22/2012,"18,87,733",0,81.04,3.346,221,6.891
2,6/29/2012,"18,81,046",0,86.32,3.286,221,6.891
2,07-06-2012,"20,41,507",0,84.2,3.227,222,6.565
2,7/13/2012,"18,30,075",0,80.17,3.256,222,6.565
2,7/20/2012,"18,19,666",0,83.23,3.311,222,6.565
2,7/27/2012,"17,57,924",0,86.37,3.407,222,6.565
2,08-03-2012,"19,46,105",0,90.22,3.417,222,6.565
2,08-10-2012,"18,66,720",0,88.55,3.494,222,6.565
2,8/17/2012,"19,28,016",0,84.79,3.571,222,6.565
2,8/24/2012,"18,76,788",0,76.91,3.62,222,6.565
2,8/31/2012,"19,47,083",0,82.64,3.638,222,6.565
2,09-07-2012,"18,98,777",1,87.65,3.73,222,6.565
2,9/14/2012,"18,14,807",0,75.88,3.717,222,6.565
2,9/21/2012,"18,29,416",0,71.09,3.721,222,6.565
2,9/28/2012,"17,46,471",0,79.45,3.666,223,6.565
2,10-05-2012,"19,98,321",0,70.27,3.617,223,6.17
2,10-12-2012,"19,00,745",0,60.97,3.601,223,6.17
2,10/19/2012,"18,47,990",0,68.08,3.594,223,6.17
2,10/26/2012,"18,34,458",0,69.79,3.506,223,6.17
3,02-05-2010,"4,61,622",0,45.71,2.572,214,7.368
3,02-12-2010,"4,20,729",1,47.93,2.548,215,7.368
3,2/19/2010,"4,21,642",0,47.07,2.514,215,7.368
3,2/26/2010,"4,07,205",0,52.05,2.561,215,7.368
3,03-05-2010,"4,15,202",0,53.04,2.625,215,7.368
3,03-12-2010,"3,84,201",0,63.08,2.667,215,7.368
3,3/19/2010,"3,75,329",0,60.42,2.72,215,7.368
3,3/26/2010,"3,59,949",0,57.06,2.732,214,7.368
3,04-02-2010,"4,23,294",0,65.56,2.719,214,7.343
3,04-09-2010,"4,15,870",0,68,2.77,214,7.343
3,4/16/2010,"3,54,993",0,66.98,2.808,214,7.343
3,4/23/2010,"3,39,977",0,67.87,2.795,214,7.343
3,4/30/2010,"3,61,248",0,70.24,2.78,214,7.343
3,05-07-2010,"3,99,324",0,73.47,2.835,214,7.343
3,5/14/2010,"3,84,358",0,77.18,2.854,214,7.343
3,5/21/2010,"3,43,763",0,75.81,2.826,214,7.343
3,5/28/2010,"3,50,089",0,78.6,2.759,214,7.343
3,06-04-2010,"3,96,969",0,78.53,2.705,214,7.343
3,06-11-2010,"3,55,017",0,82.1,2.668,215,7.343
3,6/18/2010,"3,64,077",0,83.52,2.637,215,7.343
3,6/25/2010,"3,57,346",0,83.79,2.653,215,7.343
3,07-02-2010,"3,81,152",0,82.2,2.669,215,7.346
3,07-09-2010,"3,49,214",0,81.75,2.642,214,7.346
3,7/16/2010,"3,52,729",0,84.32,2.623,214,7.346
3,7/23/2010,"3,52,864",0,83.32,2.608,215,7.346
3,7/30/2010,"3,47,955",0,82.04,2.64,215,7.346
3,08-06-2010,"4,02,636",0,85.13,2.627,215,7.346
3,8/13/2010,"3,39,597",0,86.74,2.692,215,7.346
3,8/20/2010,"3,51,728",0,88.02,2.664,215,7.346
3,8/27/2010,"3,62,134",0,86.15,2.619,215,7.346
3,09-03-2010,"3,66,474",0,84.16,2.577,215,7.346
3,09-10-2010,"3,52,261",1,80.84,2.565,215,7.346
3,9/17/2010,"3,63,065",0,82.36,2.582,215,7.346
3,9/24/2010,"3,55,627",0,76.9,2.624,215,7.346
3,10-01-2010,"3,58,784",0,73.6,2.603,215,7.564
3,10-08-2010,"3,95,107",0,66.99,2.633,215,7.564
3,10/15/2010,"3,45,584",0,69.71,2.72,215,7.564
3,10/22/2010,"3,48,896",0,71.64,2.725,215,7.564
3,10/29/2010,"3,48,592",0,72.04,2.716,215,7.564
3,11-05-2010,"4,23,176",0,62.94,2.689,215,7.564
3,11-12-2010,"3,86,635",0,62.79,2.728,215,7.564
3,11/19/2010,"3,72,545",0,57.72,2.771,215,7.564
3,11/26/2010,"5,65,568",1,68.71,2.735,215,7.564
3,12-03-2010,"4,76,421",0,53.76,2.708,215,7.564
3,12-10-2010,"4,67,642",0,51.13,2.843,215,7.564
3,12/17/2010,"4,98,159",0,52.2,2.869,215,7.564
3,12/24/2010,"6,05,990",0,57.16,2.886,215,7.564
3,12/31/2010,"3,82,678",1,53.2,2.943,215,7.564
3,01-07-2011,"3,78,241",0,53.35,2.976,215,7.551
3,1/14/2011,"3,81,061",0,44.76,2.983,215,7.551
3,1/21/2011,"3,50,877",0,50.74,3.016,215,7.551
3,1/28/2011,"3,64,866",0,48.71,3.01,216,7.551
3,02-04-2011,"4,38,517",0,45.95,2.989,216,7.551
3,02-11-2011,"4,30,526",1,43.57,3.022,216,7.551
3,2/18/2011,"4,32,782",0,61.58,3.045,217,7.551
3,2/25/2011,"3,97,211",0,67.4,3.065,217,7.551
3,03-04-2011,"4,37,085",0,65.11,3.288,217,7.551
3,03-11-2011,"4,04,753",0,61.29,3.459,217,7.551
3,3/18/2011,"3,92,110",0,69.47,3.488,218,7.551
3,3/25/2011,"3,80,684",0,72.94,3.473,218,7.551
3,04-01-2011,"3,74,556",0,68.76,3.524,218,7.574
3,04-08-2011,"3,84,075",0,72.55,3.622,218,7.574
3,4/15/2011,"3,66,251",0,75.88,3.743,219,7.574
3,4/22/2011,"3,91,860",0,76.91,3.807,219,7.574
3,4/29/2011,"3,67,405",0,78.69,3.81,219,7.574
3,05-06-2011,"4,13,042",0,69.45,3.906,219,7.574
3,5/13/2011,"3,86,313",0,79.87,3.899,219,7.574
3,5/20/2011,"3,64,603",0,75.79,3.907,219,7.574
3,5/27/2011,"3,69,351",0,84.41,3.786,219,7.574
3,06-03-2011,"3,94,508",0,84.29,3.699,219,7.574
3,06-10-2011,"3,91,639",0,84.84,3.648,218,7.574
3,6/17/2011,"4,03,423",0,86.96,3.637,218,7.574
3,6/24/2011,"3,85,521",0,84.94,3.594,218,7.574
3,07-01-2011,"3,68,963",0,85.1,3.524,219,7.567
3,07-08-2011,"3,95,146",0,85.38,3.48,219,7.567
3,7/15/2011,"3,73,454",0,87.14,3.575,219,7.567
3,7/22/2011,"3,60,617",0,86.19,3.651,219,7.567
3,7/29/2011,"3,45,381",0,88.07,3.682,219,7.567
3,08-05-2011,"4,09,981",0,88.45,3.684,219,7.567
3,08-12-2011,"3,80,377",0,88.88,3.638,219,7.567
3,8/19/2011,"3,79,717",0,88.44,3.554,219,7.567
3,8/26/2011,"3,66,368",0,87.67,3.523,219,7.567
3,09-02-2011,"3,75,989",0,89.12,3.533,219,7.567
3,09-09-2011,"3,77,347",1,81.72,3.546,219,7.567
3,9/16/2011,"3,75,630",0,83.63,3.526,219,7.567
3,9/23/2011,"3,65,249",0,80.19,3.467,220,7.567
3,9/30/2011,"3,68,478",0,82.58,3.355,220,7.567
3,10-07-2011,"4,03,342",0,75.54,3.285,220,7.197
3,10/14/2011,"3,68,283",0,73.75,3.274,221,7.197
3,10/21/2011,"3,94,976",0,69.03,3.353,221,7.197
3,10/28/2011,"3,89,541",0,71.04,3.372,221,7.197
3,11-04-2011,"4,59,443",0,59.31,3.332,221,7.197
3,11-11-2011,"4,07,764",0,61.7,3.297,221,7.197
3,11/18/2011,"3,98,839",0,63.91,3.308,222,7.197
3,11/25/2011,"5,56,925",1,68,3.236,222,7.197
3,12-02-2011,"4,72,511",0,54.97,3.172,222,7.197
3,12-09-2011,"4,68,773",0,49.26,3.158,222,7.197
3,12/16/2011,"5,10,748",0,57.95,3.159,223,7.197
3,12/23/2011,"5,51,221",0,53.41,3.112,223,7.197
3,12/30/2011,"4,10,554",1,48.29,3.129,223,7.197
3,01-06-2012,"3,98,178",0,52.42,3.157,223,6.833
3,1/13/2012,"3,67,439",0,51.86,3.261,223,6.833
3,1/20/2012,"3,65,819",0,56.2,3.268,223,6.833
3,1/27/2012,"3,49,518",0,58.06,3.29,224,6.833
3,02-03-2012,"4,24,961",0,59.33,3.36,224,6.833
3,02-10-2012,"4,73,292",1,51.65,3.409,224,6.833
3,2/17/2012,"4,75,591",0,52.39,3.51,224,6.833
3,2/24/2012,"4,18,925",0,60.12,3.555,224,6.833
3,03-02-2012,"4,69,753",0,61.65,3.63,224,6.833
3,03-09-2012,"4,45,162",0,60.71,3.669,225,6.833
3,3/16/2012,"4,11,776",0,64,3.734,225,6.833
3,3/23/2012,"4,13,907",0,66.53,3.787,225,6.833
3,3/30/2012,"4,07,489",0,69.36,3.845,225,6.833
3,04-06-2012,"5,03,232",0,73.01,3.891,225,6.664
3,4/13/2012,"4,20,790",0,72.83,3.891,225,6.664
3,4/20/2012,"4,34,822",0,72.05,3.877,225,6.664
3,4/27/2012,"3,94,616",0,73.39,3.814,225,6.664
3,05-04-2012,"4,39,914",0,79.51,3.749,225,6.664
3,05-11-2012,"4,31,985",0,75.19,3.688,225,6.664
3,5/18/2012,"4,18,113",0,72.38,3.63,225,6.664
3,5/25/2012,"4,13,701",0,78.58,3.561,225,6.664
3,06-01-2012,"4,32,269",0,81.55,3.501,225,6.664
3,06-08-2012,"4,46,337",0,81.65,3.452,225,6.664
3,6/15/2012,"4,42,075",0,84.66,3.393,225,6.664
3,6/22/2012,"4,19,498",0,82.7,3.346,225,6.664
3,6/29/2012,"4,22,965",0,86.42,3.286,225,6.664
3,07-06-2012,"4,11,207",0,83.14,3.227,225,6.334
3,7/13/2012,"4,16,913",0,82.28,3.256,225,6.334
3,7/20/2012,"4,32,425",0,81.38,3.311,225,6.334
3,7/27/2012,"3,89,428",0,84.94,3.407,225,6.334
3,08-03-2012,"4,19,990",0,86.55,3.417,225,6.334
3,08-10-2012,"3,91,812",0,85.85,3.494,225,6.334
3,8/17/2012,"3,94,919",0,87.36,3.571,226,6.334
3,8/24/2012,"4,12,450",0,83.01,3.62,226,6.334
3,8/31/2012,"4,08,839",0,85.18,3.638,226,6.334
3,09-07-2012,"4,08,230",1,84.99,3.73,226,6.334
3,9/14/2012,"4,07,589",0,78.36,3.717,226,6.334
3,9/21/2012,"4,14,392",0,72.78,3.721,226,6.334
3,9/28/2012,"3,89,813",0,77.46,3.666,227,6.334
3,10-05-2012,"4,43,558",0,72.74,3.617,227,6.034
3,10-12-2012,"4,10,804",0,70.31,3.601,227,6.034
3,10/19/2012,"4,24,513",0,73.44,3.594,227,6.034
3,10/26/2012,"4,05,433",0,74.66,3.506,227,6.034
4,02-05-2010,"21,35,144",0,43.76,2.598,126,8.623
4,02-12-2010,"21,88,307",1,28.84,2.573,126,8.623
4,2/19/2010,"20,49,860",0,36.45,2.54,127,8.623
4,2/26/2010,"19,25,729",0,41.36,2.59,127,8.623
4,03-05-2010,"19,71,057",0,43.49,2.654,127,8.623
